ncdeq_id,id_gee,code,name,area_sq_km,year_cor,lon,lat,type,boundary,wang_id,county,facility_name,combined_owner,regulated_operation,permit_type,regulated_activity,allowable_count,number_of_lagoons,issued_date,effective_date,expiration_date,admin_region,location_lat_num,location_long_num,address_1,address_2,city,state,zip,min_sprayable_acres,max_sprayable_acres
AWS960063,X3353,30202,Neuse,15703.36,1990,-78.2248204,35.3136682,hydrology,HUC6,096_H_160,wayne,Grantham Farms 2,Robert Grantham,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.3133,-78.2244,856 Dobbersville Rd,NA,Goldsboro,NC,27530,31.949347068493154,66.17214197851072
AWS960063,X3353,30202011403,Upper Falling Creek,108.16,1990,-78.2248204,35.3136682,hydrology,HUC12,096_H_160,wayne,Grantham Farms 2,Robert Grantham,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.3133,-78.2244,856 Dobbersville Rd,NA,Goldsboro,NC,27530,31.949347068493154,66.17214197851072
AWS960064,X3338,NA,WAYNE,1442.581149,1992,-77.87261087,35.3844955,county,county,096_H_091,wayne,Kim Gray Farm,Kim Gray,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.3842,-77.8719,497 Mark Edwards Rd,NA,La Grange,NC,285517549,31.949347068493154,66.17214197851072
AWS960064,X3338,30202,Neuse,15703.36,1992,-77.87261087,35.3844955,hydrology,HUC6,096_H_091,wayne,Kim Gray Farm,Kim Gray,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.3842,-77.8719,497 Mark Edwards Rd,NA,La Grange,NC,285517549,31.949347068493154,66.17214197851072
AWS960064,X3338,30202020201,West Bear Creek,61.11,1992,-77.87261087,35.3844955,hydrology,HUC12,096_H_091,wayne,Kim Gray Farm,Kim Gray,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.3842,-77.8719,497 Mark Edwards Rd,NA,La Grange,NC,285517549,31.949347068493154,66.17214197851072
AWS960065,X3336,30202,Neuse,15703.36,1992,-77.87295406,35.38787473,hydrology,HUC6,096_H_091,wayne,Roland Gray Farm,Roland Gray,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.3883,-77.8714,503 Mark Edwards Rd,NA,La Grange,NC,28551,31.949347068493154,66.17214197851072
AWS960065,X3336,NA,WAYNE,1442.581149,1992,-77.87295406,35.38787473,county,county,096_H_091,wayne,Roland Gray Farm,Roland Gray,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.3883,-77.8714,503 Mark Edwards Rd,NA,La Grange,NC,28551,31.949347068493154,66.17214197851072
AWS960065,X3336,30202020201,West Bear Creek,61.11,1992,-77.87295406,35.38787473,hydrology,HUC12,096_H_091,wayne,Roland Gray Farm,Roland Gray,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.3883,-77.8714,503 Mark Edwards Rd,NA,La Grange,NC,28551,31.949347068493154,66.17214197851072
AWS960068,X3332,NA,WAYNE,1442.581149,1991,-77.84816951,35.4288257,county,county,096_H_063,wayne,Toby Roberts Farm,Toby Roberts,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.4278,-77.8492,415 E Hill St,NA,Goldsboro,NC,27534,31.949347068493154,66.17214197851072
AWS960068,X3332,30202,Neuse,15703.36,1991,-77.84816951,35.4288257,hydrology,HUC6,096_H_063,wayne,Toby Roberts Farm,Toby Roberts,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.4278,-77.8492,415 E Hill St,NA,Goldsboro,NC,27534,31.949347068493154,66.17214197851072
AWS960068,X3332,30202020201,West Bear Creek,61.11,1991,-77.84816951,35.4288257,hydrology,HUC12,096_H_063,wayne,Toby Roberts Farm,Toby Roberts,Swine,Swine State COC,Swine - Feeder to Finish,2880,1,10/1/14,10/1/14,9/30/19,Washington,35.4278,-77.8492,415 E Hill St,NA,Goldsboro,NC,27534,31.949347068493154,66.17214197851072
